pnr_number,complaint_description,category,subcategory,complaint_status,complaint_id,complainant_id,Images,Audio,Video,Date_of_issue,Complaint_create_at
4620089531,The food served in the pantry car was overpriced and of poor quality. The quantity was also insufficient.,Catering & vending Services,Food Quality & Quantity,Under Investigation,180,5678905,,,,10/19/2024,
4620089532,"The coach windows were dirty and foggy, obstructing the view outside.",Coach Maintenance,Window/Seat Broken,Resolved,181,6789016,,,,10/20/2024,
4620089533,"The train was frequently stopping at stations, causing unnecessary delays in the journey.",Punctuality,Others,Awaiting Response,182,7890127,,,,10/21/2024,
4620089534,"The lights in the coach were not working properly, making it difficult to read or see at night.",Coach Maintenance,Others,In Progress,183,8901238,,,,10/22/2024,
4620089535,"The coach doors were not closing properly, leading to noise and dust entering the coach.",Coach Maintenance,Window/Door locking problem,Closed,184,9012349,,,,10/23/2024,
4620089536,The train was running late and the railway authorities did not provide any timely updates.,Punctuality,Late Running,Under Investigation,185,123450,,,,10/24/2024,
4620089537,The staff was not wearing proper uniforms and their behavior was unprofessional.,Staff Behaviour,Staff Behaviour,Resolved,186,1234561,,,,10/25/2024,
4620089538,The water in the water dispenser was not clean and had a foul smell.,Water Availability,Toilet,Awaiting Response,187,2345672,,,,10/26/2024,
4620089539,The coach was not cleaned properly and there was litter and dust everywhere.,Coach Cleanliness,General Cleanliness,In Progress,188,3456783,,,,10/27/2024,
4620089540,The AC in the coach was not working properly. The temperature was too high and the air was stale.,Coach Comfort,AC Malfunction,Under Investigation,189,4567894,,,,10/28/2024,
4620089541,The toilet was dirty and stinky. There was no water supply and the toilet was clogged.,Coach Cleanliness,Toilet Condition,Closed,190,5678905,,,,10/29/2024,
4620089542,The train was delayed by several hours without any proper information or updates from the railway authorities.,Punctuality,Late Running,Resolved,191,6789016,,,,10/30/2024,
4620089543,The staff was rude and unhelpful. They did not respond to our queries and complaints.,Staff Behaviour,Staff Behaviour,Awaiting Response,192,7890127,,,,10/31/2024,
4620089544,The seats were uncomfortable and dirty. The upholstery was torn and the cushioning was worn out.,Coach Comfort,Seat Condition,In Progress,193,8901238,,,,11/1/2024,
4620089545,The train was overcrowded and there were no proper arrangements for passengers.,Security,Nuisance by Passenger,Closed,194,9012349,,,,11/2/2024,
4620089546,The food served in the pantry car was overpriced and of poor quality. The quantity was also insufficient.,Catering & vending Services,Food Quality & Quantity,Under Investigation,195,123450,,,,11/3/2024,
4620089547,"The coach windows were dirty and foggy, obstructing the view outside.",Coach Maintenance,Window/Seat Broken,Resolved,196,1234561,,,,11/4/2024,
4620089548,"The train was frequently stopping at stations, causing unnecessary delays in the journey.",Punctuality,Others,Awaiting Response,197,2345672,,,,11/5/2024,
4620089549,"The lights in the coach were not working properly, making it difficult to read or see at night.",Coach Maintenance,Others,In Progress,198,3456783,,,,11/6/2024,
4620089550,"The coach doors were not closing properly, leading to noise and dust entering the coach.",Coach Maintenance,Window/Door locking problem,Closed,199,4567894,,,,11/7/2024,
4620089551,The train was running late and the railway authorities did not provide any timely updates.,Punctuality,Late Running,Under Investigation,200,5678905,,,,11/8/2024,
4620089552,The staff was not wearing proper uniforms and their behavior was unprofessional.,Staff Behaviour,Staff Behaviour,Resolved,201,6789016,,,,11/9/2024,
4620089553,The water in the water dispenser was not clean and had a foul smell.,Water Availability,Toilet,Awaiting Response,202,7890127,,,,11/10/2024,
4620089554,The coach was not cleaned properly and there was litter and dust everywhere.,Coach Cleanliness,General Cleanliness,In Progress,203,8901238,,,,11/11/2024,
4620089555,The AC in the coach was not working properly. The temperature was too high and the air was stale.,Coach Comfort,AC Malfunction,Under Investigation,204,9012349,,,,11/12/2024,
4620089556,The toilet was dirty and stinky. There was no water supply and the toilet was clogged.,Coach Cleanliness,Toilet Condition,Closed,205,123450,,,,11/13/2024,
4620089557,The train was delayed by several hours without any proper information or updates from the railway authorities.,Punctuality,Late Running,Resolved,206,1234561,,,,11/14/2024,
4620089558,The staff was rude and unhelpful. They did not respond to our queries and complaints.,Staff Behaviour,Staff Behaviour,Awaiting Response,207,2345672,,,,11/15/2024,
